Date,Open,High,Low,Close,Adj Close,Volume
2001-04-25,11900.000000,13650.000000,11900.000000,13650.000000,10143.817383,26100
2001-04-26,11900.000000,13650.000000,11900.000000,13650.000000,10143.817383,26100
2001-04-27,17950.000000,17950.000000,16600.000000,17950.000000,13339.301758,2002100
2001-04-30,18900.000000,19500.000000,17500.000000,18000.000000,13376.459961,1296800
2001-05-01,18000.000000,18000.000000,18000.000000,18000.000000,13376.459961,0
2001-05-02,18500.000000,20700.000000,17750.000000,20700.000000,15382.928711,1081000
2001-05-03,20700.000000,20700.000000,19750.000000,20250.000000,15048.517578,698700
2001-05-04,19500.000000,19700.000000,18600.000000,18850.000000,14008.123047,463800
2001-05-07,18850.000000,18850.000000,18850.000000,18850.000000,14008.123047,0
2001-05-08,18300.000000,19000.000000,18300.000000,19000.000000,14119.595703,396400
2001-05-09,19000.000000,19350.000000,18700.000000,18950.000000,14082.441406,136000
2001-05-10,18950.000000,21750.000000,18800.000000,21750.000000,16163.221680,1047100
2001-05-11,22200.000000,24700.000000,22100.000000,24000.000000,17835.283203,866400
2001-05-14,23150.000000,23800.000000,22250.000000,23200.000000,17240.773438,644800
2001-05-15,23300.000000,24350.000000,22700.000000,23800.000000,17686.650391,431100
2001-05-16,24000.000000,24700.000000,23300.000000,23700.000000,17612.335938,240300
2001-05-17,24100.000000,26600.000000,23300.000000,24800.000000,18429.791016,541600
2001-05-18,24550.000000,26800.000000,24550.000000,25950.000000,19284.396484,703600
2001-05-21,26900.000000,27900.000000,26450.000000,26800.000000,19916.062500,294600
2001-05-22,26800.000000,27500.000000,25600.000000,26400.000000,19618.806641,389200
2001-05-23,26200.000000,26200.000000,25200.000000,25900.000000,19247.240234,358400
2001-05-24,25200.000000,27500.000000,25200.000000,27150.000000,20176.158203,544800
2001-05-25,27000.000000,28150.000000,27000.000000,27950.000000,20770.671875,442300
2001-05-28,27950.000000,28400.000000,27000.000000,27500.000000,20436.255859,153000
2001-05-29,27500.000000,30000.000000,27500.000000,28900.000000,21476.648438,552700
2001-05-30,28550.000000,32800.000000,28550.000000,31600.000000,23483.119141,626900
2001-05-31,31500.000000,34500.000000,30500.000000,31600.000000,23483.119141,432800
2001-06-01,31600.000000,32700.000000,29400.000000,30000.000000,22294.097656,489500
2001-06-04,30000.000000,30850.000000,27700.000000,28150.000000,20919.298828,256200
2001-06-05,27700.000000,28650.000000,27200.000000,27300.000000,20287.634766,332600
2001-06-06,27300.000000,27300.000000,27300.000000,27300.000000,20287.634766,0
2001-06-07,27600.000000,28800.000000,27600.000000,28300.000000,21030.763672,325300
2001-06-08,29000.000000,30400.000000,28300.000000,30000.000000,22294.097656,383800
2001-06-11,29300.000000,30350.000000,29300.000000,30000.000000,22294.097656,129900
2001-06-12,29550.000000,30100.000000,29200.000000,29600.000000,21996.843750,89400
2001-06-13,29100.000000,29500.000000,29100.000000,29500.000000,21922.531250,111700
2001-06-14,29300.000000,31200.000000,29050.000000,30750.000000,22851.453125,223400
2001-06-15,31000.000000,31500.000000,29800.000000,30300.000000,22517.039063,205900
2001-06-18,30700.000000,30850.000000,29500.000000,29500.000000,21922.531250,69500
2001-06-19,29000.000000,29900.000000,29000.000000,29500.000000,21922.531250,83800
2001-06-20,29800.000000,31500.000000,29500.000000,31000.000000,23037.236328,370400
2001-06-21,31000.000000,31400.000000,29000.000000,29000.000000,21550.960938,176300
2001-06-22,29050.000000,29300.000000,27700.000000,29250.000000,21736.744141,88400
2001-06-25,29300.000000,31200.000000,29300.000000,30700.000000,22814.294922,207300
2001-06-26,30900.000000,30900.000000,29300.000000,29500.000000,21922.531250,60100
2001-06-27,29700.000000,30400.000000,29300.000000,29500.000000,21922.531250,50700
2001-06-28,29000.000000,29800.000000,29000.000000,29500.000000,21922.531250,34700
2001-06-29,29550.000000,30000.000000,29050.000000,29450.000000,21885.376953,60300
2001-07-02,29100.000000,29300.000000,28200.000000,28200.000000,20956.449219,221100
2001-07-03,28500.000000,28800.000000,28000.000000,28250.000000,20993.609375,121300
2001-07-04,28300.000000,28600.000000,27300.000000,28400.000000,21105.082031,127300
2001-07-05,29300.000000,29300.000000,28000.000000,28000.000000,20807.826172,53800
2001-07-06,27000.000000,27800.000000,27000.000000,27300.000000,20287.634766,84700
2001-07-09,27000.000000,27000.000000,26100.000000,27000.000000,20064.687500,82300
2001-07-10,26550.000000,27300.000000,26150.000000,26650.000000,19804.591797,57100
2001-07-11,25700.000000,26200.000000,25700.000000,26000.000000,19321.558594,123900
2001-07-12,26050.000000,27000.000000,26050.000000,26300.000000,19544.492188,71900
2001-07-13,26800.000000,27000.000000,26400.000000,26500.000000,19693.119141,64300
2001-07-16,26500.000000,27150.000000,26000.000000,26550.000000,19730.277344,60900
2001-07-17,26550.000000,26550.000000,26550.000000,26550.000000,19730.277344,0
2001-07-18,26600.000000,26900.000000,26100.000000,26400.000000,19618.806641,40500
2001-07-19,26200.000000,26600.000000,25800.000000,26000.000000,19321.558594,47100
2001-07-20,26000.000000,26750.000000,26000.000000,26300.000000,19544.492188,99800
2001-07-23,26200.000000,26250.000000,23500.000000,23800.000000,17686.650391,124700
2001-07-24,23500.000000,23500.000000,22100.000000,23100.000000,17166.458984,86400
2001-07-25,23100.000000,23100.000000,22150.000000,22900.000000,17017.828125,58400
2001-07-26,23500.000000,23600.000000,22550.000000,23050.000000,17129.296875,64300
2001-07-27,23200.000000,23700.000000,22900.000000,23400.000000,17389.398438,97600
2001-07-30,23400.000000,23400.000000,22600.000000,23000.000000,17092.142578,50100
2001-07-31,22500.000000,23100.000000,22500.000000,23100.000000,17166.458984,56200
2001-08-01,23400.000000,25050.000000,23200.000000,24800.000000,18429.791016,154800
2001-08-02,25000.000000,25050.000000,24000.000000,24800.000000,18429.791016,100700
2001-08-03,25000.000000,25800.000000,24500.000000,25200.000000,18727.044922,56600
2001-08-06,25200.000000,25800.000000,24750.000000,25500.000000,18949.982422,55100
2001-08-07,25700.000000,25900.000000,25450.000000,25800.000000,19172.929688,94800
2001-08-08,25800.000000,26200.000000,25600.000000,25900.000000,19247.240234,97600
2001-08-09,25900.000000,26450.000000,25850.000000,26000.000000,19321.558594,559400
2001-08-10,25800.000000,26100.000000,25000.000000,25700.000000,19098.609375,73600
2001-08-13,26000.000000,26000.000000,25000.000000,25700.000000,19098.609375,97400
2001-08-14,25100.000000,25850.000000,25000.000000,25800.000000,19172.929688,121200
2001-08-15,25800.000000,25800.000000,25800.000000,25800.000000,19172.929688,0
2001-08-16,25600.000000,26100.000000,25200.000000,25700.000000,19098.609375,92800
2001-08-17,25500.000000,25700.000000,25300.000000,25600.000000,19024.298828,35900
2001-08-20,24700.000000,25200.000000,24700.000000,25200.000000,18727.044922,16900
2001-08-21,25150.000000,25200.000000,24450.000000,24650.000000,18318.324219,34900
2001-08-22,24650.000000,24650.000000,24200.000000,24200.000000,17983.906250,41800
2001-08-23,24300.000000,24600.000000,24150.000000,24300.000000,18058.220703,168000
2001-08-24,24050.000000,24400.000000,23800.000000,24200.000000,17983.906250,45800
