관측지점별,시점,평균기온,최고기온,최저기온,합계강수량,평균풍속,평균상대습도,합계일조시간
서울,2021.06,22.8,31.6,13.3,104.6,2.2,73,185.5
서울,2021.07,28.1,36.5,19.6,168.3,2,71,195.2
서울,2021.08,25.9,33.7,18.1,211.2,2.1,74,127.3
서울,2021.09,22.6,30.3,16,131,2.3,71,182
서울,2021.10,15.6,28.8,1.3,57,2.1,70,168.4
서울,2021.11,8.2,21.3,-3.7,62.4,2.1,68,163.6
서울,2021.12,0.6,13.3,-15.5,7.9,2.3,62,185.4
서울,2022.01,-2.2,8.4,-11.3,5.5,2.2,55,206.9
서울,2022.02,-1.1,11.5,-10.7,4.7,2.6,55,203.8
서울,2022.03,7.7,19.5,-3,102.6,2.5,62,173
서울,2022.04,14.8,28.7,3.5,20.4,2.7,55,246.4
