"		지점번호",지점명,일시,일조합,일조율,일사합
"		108",서울,2012-04-19,8.3,62.4,17.84
"		108",서울,2012-04-20,9.3,69.4,18.54
"		108",서울,2012-04-21,0,0,2.56
"		108",서울,2012-04-22,0,0,1.84
"		108",서울,2012-04-23,0.6,4.4,6.32
"		108",서울,2012-04-24,9.2,68.1,18.71
"		108",서울,2012-04-25,0,0,1.82
"		108",서울,2012-04-26,12.7,93.4,23.44
"		108",서울,2012-04-27,11.9,87.5,21.43
"		108",서울,2012-04-28,8.9,65.4,19.21
"		108",서울,2012-04-29,7.8,56.9,18.07
"		108",서울,2012-04-30,12.4,90.5,23.01
"		108",서울,2012-05-01,6.4,46.4,16.74
"		108",서울,2012-05-02,10,72.5,19.26
"		108",서울,2012-05-03,9.6,69.6,19.2
"		108",서울,2012-05-04,12.2,87.8,22.82
"		108",서울,2012-05-05,12.2,87.8,23.62
"		108",서울,2012-05-06,12.4,89.2,23.37
"		108",서울,2012-05-07,10.2,72.9,20.96
"		108",서울,2012-05-08,9,64.3,19.51
"		108",서울,2012-05-09,10.7,76.4,21.08
"		108",서울,2012-05-10,11.1,78.7,19.37
"		108",서울,2012-05-11,0.4,2.8,7.96
"		108",서울,2012-05-12,1.8,12.8,12.1
"		108",서울,2012-05-13,8.3,58.9,18.5
"		108",서울,2012-05-14,0,0,1.97
"		108",서울,2012-05-15,10.6,74.6,22.03
"		108",서울,2012-05-16,7.6,53.5,18.89
"		108",서울,2012-05-17,7.9,55.2,15.79
"		108",서울,2012-05-18,12.7,88.8,23.04
"		108",서울,2012-05-19,11.6,81.1,20.56
"		108",서울,2012-05-20,12.3,86,22.87
"		108",서울,2012-05-21,12.4,86.1,22.87
"		108",서울,2012-05-22,12.4,86.1,22.75
"		108",서울,2012-05-23,10.4,72.2,22.34
"		108",서울,2012-05-24,1.5,10.4,10.26
"		108",서울,2012-05-25,11.5,79.3,22.94
"		108",서울,2012-05-26,8,55.2,17.15
"		108",서울,2012-05-27,2.8,19.3,11.32
"		108",서울,2012-05-28,3.3,22.8,13.7
"		108",서울,2012-05-29,3,20.7,13.48
"		108",서울,2012-05-30,0.6,4.1,8.81
"		108",서울,2012-05-31,8.4,57.5,18.14
"		108",서울,2012-06-01,6.1,41.8,17.15
"		108",서울,2012-06-02,7.5,51.4,18.6
"		108",서울,2012-06-03,12.7,87,23.42
"		108",서울,2012-06-04,11.6,79.5,20.59
"		108",서울,2012-06-05,10,68,18.06
"		108",서울,2012-06-06,8.2,55.8,19.51
"		108",서울,2012-06-07,5.5,37.4,16.96
"		108",서울,2012-06-08,1.7,11.6,11.32
"		108",서울,2012-06-09,7.6,51.7,18.43
"		108",서울,2012-06-10,7.8,53.1,18.03
"		108",서울,2012-06-11,4.3,29.3,14.05
"		108",서울,2012-06-12,7.3,49.7,14.61
"		108",서울,2012-06-13,6.4,43.5,16.21
"		108",서울,2012-06-14,9,60.8,21.66
"		108",서울,2012-06-15,4.7,31.8,15.34
"		108",서울,2012-06-16,10.2,68.9,19.07
"		108",서울,2012-06-17,12.3,83.1,24.48
"		108",서울,2012-06-18,8.2,55.4,19.45
"		108",서울,2012-06-19,9.3,62.8,19.65
"		108",서울,2012-06-20,13,87.8,22.74
"		108",서울,2012-06-21,9.2,62.2,20.01
"		108",서울,2012-06-22,3.6,24.3,15.05
"		108",서울,2012-06-23,7.5,50.7,18.28
"		108",서울,2012-06-24,5.4,36.5,15.48
"		108",서울,2012-06-25,10.9,73.6,21.95
"		108",서울,2012-06-26,12.8,86.5,22.96
"		108",서울,2012-06-27,9.4,63.5,20.95
"		108",서울,2012-06-28,4.9,33.1,13.63
"		108",서울,2012-06-29,4.8,32.7,13.62
"		108",서울,2012-06-30,0.1,0.7,3.2
"		108",서울,2012-07-01,2,13.6,6.68
"		108",서울,2012-07-02,6.2,42.2,17.2
"		108",서울,2012-07-03,3.2,21.8,7.06
"		108",서울,2012-07-04,1.6,10.9,10.52
"		108",서울,2012-07-05,0,0,1.87
"		108",서울,2012-07-06,0,0,2.97
"		108",서울,2012-07-07,12,82.2,22.23
"		108",서울,2012-07-08,13.1,89.7,23.18
"		108",서울,2012-07-09,6.7,45.9,18.07
"		108",서울,2012-07-10,0.7,4.8,7.96
"		108",서울,2012-07-11,0.8,5.5,5.08
"		108",서울,2012-07-12,1,6.8,8.55
"		108",서울,2012-07-13,2.6,17.8,11
"		108",서울,2012-07-14,0.3,2.1,7.05
"		108",서울,2012-07-15,0,0,3.56
"		108",서울,2012-07-16,0.5,3.4,8.64
"		108",서울,2012-07-17,0.3,2.1,10.77
"		108",서울,2012-07-18,0.8,5.5,6.86
"		108",서울,2012-07-19,2.4,16.7,8.6
"		108",서울,2012-07-20,7.3,50.7,15.51
"		108",서울,2012-07-21,6.8,47.2,15.92
"		108",서울,2012-07-22,3.5,24.3,9.1
"		108",서울,2012-07-23,1.7,11.9,8.83
"		108",서울,2012-07-24,8.4,58.7,16.81
"		108",서울,2012-07-25,10.6,74.1,20.67
"		108",서울,2012-07-26,13,90.9,23.33
"		108",서울,2012-07-27,9.1,64.1,17.2
"		108",서울,2012-07-28,8.4,59.2,16.95
"		108",서울,2012-07-29,9.6,67.6,16.1
"		108",서울,2012-07-30,5,35.5,11.85
"		108",서울,2012-07-31,6.4,45.4,15.02
"		108",서울,2012-08-01,9.8,69.5,17.27
"		108",서울,2012-08-02,11.7,83.6,18.09
"		108",서울,2012-08-03,12.9,92.1,21.72
"		108",서울,2012-08-04,11.3,80.7,21.67
"		108",서울,2012-08-05,12.2,87.1,20.35
"		108",서울,2012-08-06,9.4,67.6,15.26
"		108",서울,2012-08-07,9.2,66.2,17.56
"		108",서울,2012-08-08,9.7,69.8,18.15
