지점번호,지점명,일시,평균습도rh,최저습도rh
108,서울,Feb19,47,15
108,서울,Mar19,51,10
108,서울,Apr19,51,10
108,서울,May19,47,12
108,서울,Jun19,61,22
108,서울,Jul19,69,24
108,서울,Aug19,69,28
108,서울,Sep19,65,24
108,서울,Oct19,62,23
108,서울,Nov19,56,14
108,서울,Dec19,58,17
108,서울,Jan20,56,17
108,서울,Feb20,58,14
108,서울,Mar20,46,11
108,서울,Apr20,50,10
108,서울,May20,67,11
108,서울,Jun20,68,26
108,서울,Jul20,77,34
108,서울,Aug20,85,49
108,서울,Sep20,71,27
108,서울,Oct20,61,20
108,서울,Nov20,64,18
108,서울,Dec20,58,24
108,서울,Jan21,58,19
108,서울,Feb21,56,18
108,서울,Mar21,63,19
108,서울,Apr21,54,18
108,서울,May21,68,25
108,서울,Jun21,73,36
108,서울,Jul21,71,37
108,서울,Aug21,74,39
108,서울,Sep21,71,38
108,서울,Oct21,70,25
108,서울,Nov21,68,27
108,서울,Dec21,62,26
108,서울,Jan22,55,21
108,서울,Feb22,55,21
108,서울,Mar22,62,15
108,서울,Apr22,55,17
108,서울,May22,,18
,,,,
,,,,
,,,,
